img,price,descrption,category
"https://m.media-amazon.com/images/I/71zroyFEZlL._AC._SR360,460.jpg",$49.99,"
                    LIVELY Jitterbug Smart4 Smartphone for Seniors - Cell Phone for Seniors - Not Compatible with Other Wireless Carriers - Must Be Activated Phone Plan
                ",Phones
"https://m.media-amazon.com/images/I/71PGVVHz08L._AC._SR360,460.jpg",$59.99,"
                    Nokia C2 2E | Android 11 (Go Edition) | Unlocked Smartphone | All Day Battery | 2/32GB | 5.7-Inch Screen | International Version | Blue
                ",Phones
"https://m.media-amazon.com/images/I/515nIrvpN5L._AC._SR360,460.jpg",$39.99,"
                    Nokia 110 4G | Dual SIM | GSM Unlocked Mobile Phone | Volte | Blue | International Version | Not AT&T/Cricket/Verizon Compatible
                ",Phones
"https://m.media-amazon.com/images/I/71nPQDoEuTL._AC._SR360,460.jpg",$29.99,"
                    Tracfone| TCL FLIP 3 | Locked| 13GB | 1850mAh Battery |5MP Video Capable Camera| Stone Gray
                ",Phones
"https://m.media-amazon.com/images/I/81No0c60jdL._AC._SR360,460.jpg",$44.99,"
                    BLU C5L MAX | 2024 | All-Day Battery | GSM Unlocked | 5.7” Display | 16/2GB |US Version | US Warranty | Black
                ",Phones
"https://m.media-amazon.com/images/I/618KathhnyL._AC._SR360,460.jpg",$49.99,"
                    FDMDAF Mini Phone, 2.5 Inch 3G Mini Smartphone 2GB RAM 16GB ROM Backup Cellphone Lightweight 5MP Student Cellphone Unlocked Quad Core
                ",Phones
"https://m.media-amazon.com/images/I/71s72QE+voL._AC._SR360,460.jpg",$49.99,"
                    Mini Smartphone Students Quad Core Smallest Mobile Phone 3.0 Inch Unlocked Android Kids Cell Phones Dual Sim Card Cute Palm Child 3G Students Small Smartphone (Blue,2GB+16GB)
                ",Phones
"https://m.media-amazon.com/images/I/712c0Ua+LhL._AC._SR360,460.jpg",$39.99,"
                    Motorola Defy Satellite Link - Rugged Handheld GPS Communicator, Two-Way Global SMS Text Messenger, Emergency SOS Alerting - Android iOS Compatible, Black
                ",Phones
"https://m.media-amazon.com/images/I/61xFRC+O+hL._AC._SR360,460.jpg",$49.99,"
                    BezosMax i Mini Phone 3G Unlocked Small Smartphone with 2GB+16GB, 3.0"" HD Touch Screen,Dual SIM, Pocket Cellphone, Best Gift for Kids, Mini Phone for Kids - Black
                ",Phones
"https://m.media-amazon.com/images/I/51rp0nqaPoL._AC._SR360,460.jpg",$151.40,"
                    Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)
                ",Phones
