Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes
simple,,,"ATTACK SHARK L80 Wireless Gaming Headset, 2.4Ghz USB Gaming Headphones with Bluetooth 5.2, 50H Battery, Noise Canceling Mic, 3.5mm Wired, Wireless Headset for PC Nintendo Switch PS5 PS4 Mac（Black） 4.5 out of 5 stars 2 $32.99$32.9920% off coupon appliedSave 20% with coupon Delivery Thu, Jan 9 Ships to FranceOnly 15 left in stock - order soon.Add to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,362.89000000000004,headset,,,https://m.media-amazon.com/images/I/61aPbjN5KQL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Gaming Headset with Detachable Cat Ear for PC PS4 PS5 Xbox One Switch, Improved Lightweight Wired Over-Ear Headphones with Mic, RGB Lighting & Stereo Surround Sound, Type-C Connection with USB Adapter 4.2 out of 5 stars 6 $29.99$29.9910% off coupon appliedSave 10% with coupon Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/71gGOVkri8L._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"ATTACK SHARK L80 Wireless Gaming Headset, 2.4Ghz USB Gaming Headphones with Bluetooth 5.2, 50H Battery, Noise Canceling Mic, 3.5mm Wired, Wireless Headset for PC Nintendo Switch PS5 PS4 Mac（White 5.0 out of 5 stars 1 $32.99$32.9920% off coupon appliedSave 20% with coupon Delivery Thu, Jan 9 Ships to FranceOnly 9 left in stock - order soon.Add to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,362.89000000000004,headset,,,https://m.media-amazon.com/images/I/71TLGGo4+bL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Attack Shark L90 Ultralight RGB Wireless Gaming Headset with Plug-in Microphone,Bluetooth 5.3 & 2.4G Wireless & Wired Headphone, 7.1 Surround Sound for Xbox One Series, PS4,PS5 & PC (Black) 3.7 out of 5 stars 5 $29.99$29.9910% off coupon appliedSave 10% with coupon Delivery Thu, Jan 9 Ships to FranceAdd to cart+1 other color/pattern",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/61mDFbUvhOL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Bluetooth Headset Stereo Sound Computer Headset for Gaming Meetings Chat- Comfortable Over-Ear PC Headphones with Mic/Soft Earmuffs/Foldable/SD/TF 3.5 Jack for Universal Connectivity (white gold) 4.1 out of 5 stars 40 $14.95$14.95Delivery Fri, Jan 10 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,164.45,headset,,,https://m.media-amazon.com/images/I/51EMQkkf7oL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback Turtle Beach Stealth 600 Gen 3 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, PS4, Mobile – Bluetooth, 80-Hr Battery, AI Noise-Cancelling Mic – Black by Turtle Beach4.1 out of 5 stars 869 30K+ bought in past monthXbox $84.99$84.99 List: $99.99$99.99$18.24 deliveryShips to France+2 other colors/patterns",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,934.89,headset,,,https://m.media-amazon.com/images/I/71kECPK7CXL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback BINNUNE Gaming Headset with Mic for Xbox Series X|S Xbox One PS4 PS5 PC NS, Wired Audifonos Gamer Headphones with Microphone for Xbox 1 PS 4|5 by BINNUNE4.4 out of 5 stars 2,606 6K+ bought in past monthWindows $25.99$25.99Delivery Thu, Jan 9 Ships to France+7 other colors/patterns",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,285.89,headset,,,https://m.media-amazon.com/images/I/81LI4BHmz2L._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Wireless Gaming Headset with Noise Canceling Microphone for PS5, PC, PS4, 2.4G/Bluetooth Gaming Headphones with USB and Type-c Connector, Wired Mode for Controller (Green) 4.4 out of 5 stars 1,546 500+ bought in past month$39.99$39.99 List: $49.00$49.00Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,439.89000000000004,headset,,,https://m.media-amazon.com/images/I/61u8Kef3TRL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"G5000 Wireless Gaming Headset with Mic for PC Ps5 Ps4 Switch Mobile Mac,Utral Lightweight for 40hrs+ Gaming (White) 4.7 out of 5 stars 70 50+ bought in past month$35.99$35.99$15.52 deliveryShips to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,395.89000000000004,headset,,,https://m.media-amazon.com/images/I/61W-Wgreq-L._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"ATTACK SHARK L90 RGB Wireless Gaming Headset for PS4/PS5/PC/Xbox,2.4Ghz Bluetooth Gaming Headphone with Mic,Lightweight,Foldable,Customize via Software - White 3.9 out of 5 stars 3 $30.99$30.9910% off coupon appliedSave 10% with coupon Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,340.89,headset,,,https://m.media-amazon.com/images/I/61tjCTm4QHL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Xbox Wireless Headset - Bluetooth Connectivity - For Xbox Series X|S, XBX1, & Windows 10 - Enhanced auto-mute and voice isolation - Dolby Atmos, Windows Sonic, and DTS Headphone: X - Up to 20 hr b by Xbox3.7 out of 5 stars 83 5K+ bought in past monthXbox One $104.99$104.99 List: $109.99$109.99Delivery Thu, Jan 9 Ships to FranceMore Buying Choices$80.00(13 used & new offers)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1154.8899999999999,headset,,,https://m.media-amazon.com/images/I/71a4QQm1OqL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Jeecoo G90 Gaming Headset with Microphone for PC PS4 PS5 - Low-Latency 2.4G Wireless & Bluetooth V5.3, Superb Stereo Sound, Lightweight & Comfortable Over-Ears Gaming Headphones (Not for Xbox) 5.0 out of 5 stars 76 400+ bought in past month$45.99$45.99 List: $59.99$59.9915% off coupon appliedSave 15% with coupon Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,505.89000000000004,headset,,,https://m.media-amazon.com/images/I/71jaUwjQ7lL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Redragon H888 Wireless Gaming Headset with 7.1 Surround Sound, Tri-Mode Gaming Headphones, 168G Lightweight Design - Detachable Mic - 40MM Driver Soft Memory Foam Padding Gamer Headset for PC, Black 4.3 out of 5 stars 8 50+ bought in past month$37.99$37.99$15.25 deliveryShips to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,417.89000000000004,headset,,,https://m.media-amazon.com/images/I/61I5GZ2ZklL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"RGB Headphone Stand with 15W Fast Wireless Charging and 2 USB-C&1 USB Charging Ports,Desk Gaming Headset Holder with Weighted Non-Slip Rubber Base Suitable for All Earphone Accessories 4.5 out of 5 stars 23 400+ bought in past month$15.99$15.99 Typical: $19.99$19.99Delivery Fri, Jan 10 Ships to FranceOnly 4 left in stock - order soon.Add to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,175.89000000000001,headset,,,https://m.media-amazon.com/images/I/71yubccq04L._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"ENHANCE Theorem 3 White Headphones - PC Gaming Headset with Built-In Bass Resonators, 2.0 Stereo Sound, Color-Changing LEDs, 50mm Drivers - Gaming Headphones with In-Line Controller, Includes Splitter 4.6 out of 5 stars 3 $29.99$29.99Delivery Thu, Jan 9 Ships to France Small Business<img alt="""" src=""https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png"" height=""24px"" width=""24px""/> Small BusinessShop products from small business brands sold in Amazon’s store. Discover more about the small businesses partnering with Amazon and Amazon’s commitment to empowering them. Learn more Add to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/71L+YgEVNHL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"BINNUNE Wireless Gaming Headset with Microphone for PC PS4 PS5, 2.4G Wireless Bluetooth USB Gamer Headphones with Mic for Laptop Computer by BINNUNE4.4 out of 5 stars 550 100+ bought in past month$33.99$33.99 Typical price $39.99$39.995% off coupon appliedSave 5% with coupon Delivery Thu, Jan 9 Ships to France+3",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,373.89000000000004,headset,,,https://m.media-amazon.com/images/I/718Wt4y9M-L._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Cat Ear Gaming Headset with Mic, RGB Rainbow Lighting, Surround Sound, 3.5mm Wired Over-Ear Headphones for PC/PS4/PS5/Switch/Laptop, Lightweight & Adjustable Headband 4.4 out of 5 stars 55 200+ bought in past month$29.99$29.99 List: $31.99$31.9910% off coupon appliedSave 10% with coupon Delivery Thu, Jan 9 Ships to FranceAdd to cart+1 other color/pattern",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/61ey3Kx9xhL._AC_UY218_.jpg,,,,,,,,,0,
